Day of week,Energy,Week Day,Year,Month,Day of month,Sum
3.0,51.248436,1.0,2018.0,9.0,5.0,95.74429
3.0,87.310295,1.0,2018.0,9.0,5.0,183.0546
3.0,87.26945,1.0,2018.0,9.0,5.0,270.32404
3.0,59.19105,1.0,2018.0,9.0,5.0,329.51508
3.0,47.479015,1.0,2018.0,9.0,5.0,376.9941
3.0,31.1278,1.0,2018.0,9.0,5.0,408.1219
3.0,38.212727,1.0,2018.0,9.0,5.0,446.33463
3.0,29.971767,1.0,2018.0,9.0,5.0,476.3064
3.0,28.843948,1.0,2018.0,9.0,5.0,505.15033
3.0,29.893658,1.0,2018.0,9.0,5.0,535.044
3.0,38.630398,1.0,2018.0,9.0,5.0,573.6744
3.0,53.39493,1.0,2018.0,9.0,5.0,627.06934
3.0,62.121597,1.0,2018.0,9.0,5.0,689.1909
3.0,37.539856,1.0,2018.0,9.0,5.0,726.7308
3.0,25.738754,1.0,2018.0,9.0,5.0,752.46954
3.0,15.101202,1.0,2018.0,9.0,5.0,767.57074
4.0,5.6036267,1.0,2018.0,9.0,6.0,5.6036267
4.0,1.4131689,1.0,2018.0,9.0,6.0,7.0167956
4.0,2.09088,1.0,2018.0,9.0,6.0,9.107676
4.0,2.2276318,1.0,2018.0,9.0,6.0,11.335307
4.0,2.5735993,1.0,2018.0,9.0,6.0,13.908907
4.0,5.2433295,1.0,2018.0,9.0,6.0,19.152237
4.0,17.95768,1.0,2018.0,9.0,6.0,37.109917
4.0,31.254313,1.0,2018.0,9.0,6.0,68.36423
4.0,52.554913,1.0,2018.0,9.0,6.0,120.91914
4.0,89.470505,1.0,2018.0,9.0,6.0,210.38965
4.0,87.145874,1.0,2018.0,9.0,6.0,297.53552
4.0,66.264305,1.0,2018.0,9.0,6.0,363.79984
4.0,52.812668,1.0,2018.0,9.0,6.0,416.6125
4.0,43.95315,1.0,2018.0,9.0,6.0,460.56564
4.0,33.879574,1.0,2018.0,9.0,6.0,494.44522
4.0,24.826662,1.0,2018.0,9.0,6.0,519.2719
4.0,13.52952,1.0,2018.0,9.0,6.0,532.8014
4.0,37.100857,1.0,2018.0,9.0,6.0,569.9023
4.0,57.502644,1.0,2018.0,9.0,6.0,627.4049
4.0,57.908863,1.0,2018.0,9.0,6.0,685.3138
4.0,49.985184,1.0,2018.0,9.0,6.0,735.29895
4.0,39.362156,1.0,2018.0,9.0,6.0,774.66113
4.0,28.270786,1.0,2018.0,9.0,6.0,802.9319
4.0,17.060831,1.0,2018.0,9.0,6.0,819.99274
5.0,9.844902,1.0,2018.0,9.0,7.0,9.844902
5.0,4.1458254,1.0,2018.0,9.0,7.0,13.990727
5.0,3.2073221,1.0,2018.0,9.0,7.0,17.19805
5.0,3.2073221,1.0,2018.0,9.0,7.0,20.405373
5.0,4.391758,1.0,2018.0,9.0,7.0,24.79713
5.0,4.268978,1.0,2018.0,9.0,7.0,29.066109
5.0,6.485072,1.0,2018.0,9.0,7.0,35.551178
5.0,19.358072,1.0,2018.0,9.0,7.0,54.909252
5.0,40.99964,1.0,2018.0,9.0,7.0,95.90889
5.0,85.7254,1.0,2018.0,9.0,7.0,181.6343
5.0,78.69834,1.0,2018.0,9.0,7.0,260.33264
5.0,62.869007,1.0,2018.0,9.0,7.0,323.20163
5.0,58.514305,1.0,2018.0,9.0,7.0,381.71594
5.0,62.396538,1.0,2018.0,9.0,7.0,444.1125
5.0,54.81236,1.0,2018.0,9.0,7.0,498.92484
5.0,51.696156,1.0,2018.0,9.0,7.0,550.621
5.0,37.423164,1.0,2018.0,9.0,7.0,588.0442
5.0,26.876951,1.0,2018.0,9.0,7.0,614.92114
5.0,41.2568,1.0,2018.0,9.0,7.0,656.1779
5.0,41.53816,1.0,2018.0,9.0,7.0,697.71606
5.0,32.25044,1.0,2018.0,9.0,7.0,729.9665
5.0,12.871911,1.0,2018.0,9.0,7.0,742.83844
5.0,11.085758,1.0,2018.0,9.0,7.0,753.9242
5.0,11.231295,1.0,2018.0,9.0,7.0,765.15546
6.0,9.039094,0.0,2018.0,9.0,8.0,9.039094
6.0,5.8223195,0.0,2018.0,9.0,8.0,14.861414
6.0,3.502882,0.0,2018.0,9.0,8.0,18.364296
6.0,2.4980097,0.0,2018.0,9.0,8.0,20.862305
6.0,2.4980097,0.0,2018.0,9.0,8.0,23.360315
6.0,2.4980097,0.0,2018.0,9.0,8.0,25.858324
6.0,5.611704,0.0,2018.0,9.0,8.0,31.470028
6.0,9.528872,0.0,2018.0,9.0,8.0,40.9989
6.0,23.870665,0.0,2018.0,9.0,8.0,64.86957
6.0,19.567448,0.0,2018.0,9.0,8.0,84.43701
6.0,23.897146,0.0,2018.0,9.0,8.0,108.33416
6.0,41.00855,0.0,2018.0,9.0,8.0,149.34271
6.0,36.011047,0.0,2018.0,9.0,8.0,185.35376
6.0,35.46842,0.0,2018.0,9.0,8.0,220.82217
6.0,33.776875,0.0,2018.0,9.0,8.0,254.59904
6.0,23.864607,0.0,2018.0,9.0,8.0,278.46365
6.0,18.38465,0.0,2018.0,9.0,8.0,296.8483
6.0,21.698715,0.0,2018.0,9.0,8.0,318.54703
6.0,32.4869,0.0,2018.0,9.0,8.0,351.0339
6.0,16.772058,0.0,2018.0,9.0,8.0,367.80597
6.0,6.982597,0.0,2018.0,9.0,8.0,374.78857
6.0,7.8385224,0.0,2018.0,9.0,8.0,382.6271
6.0,14.902783,0.0,2018.0,9.0,8.0,397.52988
6.0,15.159291,0.0,2018.0,9.0,8.0,412.68918
7.0,10.041592,0.0,2018.0,9.0,9.0,10.041592
7.0,5.7280254,0.0,2018.0,9.0,9.0,15.769617
7.0,2.2671795,0.0,2018.0,9.0,9.0,18.036797
7.0,2.2671795,0.0,2018.0,9.0,9.0,20.303976
7.0,2.2796319,0.0,2018.0,9.0,9.0,22.583609
7.0,3.8743682,0.0,2018.0,9.0,9.0,26.457975
7.0,0.9773526,0.0,2018.0,9.0,9.0,27.43533
7.0,10.051744,0.0,2018.0,9.0,9.0,37.487072
7.0,9.683056,0.0,2018.0,9.0,9.0,47.170128
7.0,18.828571,0.0,2018.0,9.0,9.0,65.9987
7.0,27.688969,0.0,2018.0,9.0,9.0,93.68767
7.0,39.53209,0.0,2018.0,9.0,9.0,133.21976
7.0,25.873707,0.0,2018.0,9.0,9.0,159.09346
7.0,31.764463,0.0,2018.0,9.0,9.0,190.85793
7.0,28.602932,0.0,2018.0,9.0,9.0,219.46086
7.0,20.474812,0.0,2018.0,9.0,9.0,239.93567
7.0,29.383726,0.0,2018.0,9.0,9.0,269.3194
7.0,22.597372,0.0,2018.0,9.0,9.0,291.91678
7.0,17.682152,0.0,2018.0,9.0,9.0,309.5989
7.0,10.415955,0.0,2018.0,9.0,9.0,320.01486
7.0,9.118617,0.0,2018.0,9.0,9.0,329.13348
7.0,18.07074,0.0,2018.0,9.0,9.0,347.20422
7.0,20.40255,0.0,2018.0,9.0,9.0,367.60678
7.0,7.7845144,0.0,2018.0,9.0,9.0,375.3913
1.0,9.302932,1.0,2018.0,9.0,10.0,9.302932
1.0,7.820932,1.0,2018.0,9.0,10.0,17.123863
1.0,5.638506,1.0,2018.0,9.0,10.0,22.76237
1.0,8.847602,1.0,2018.0,9.0,10.0,31.609972
1.0,7.859445,1.0,2018.0,9.0,10.0,39.469418
1.0,9.894945,1.0,2018.0,9.0,10.0,49.364365
1.0,15.444776,1.0,2018.0,9.0,10.0,64.809135
1.0,34.56735,1.0,2018.0,9.0,10.0,99.37649
1.0,60.576836,1.0,2018.0,9.0,10.0,159.95332
1.0,91.42912,1.0,2018.0,9.0,10.0,251.38245
1.0,76.47772,1.0,2018.0,9.0,10.0,327.86017
1.0,66.98999,1.0,2018.0,9.0,10.0,394.85016
1.0,65.193695,1.0,2018.0,9.0,10.0,460.04385
